         證券代號      證券名稱
330      2388        威盛
331      2390        云辰
332      2392        正崴
333      2393        億光
334      2395        研華
335      2397        友通
336      2399        映泰
337      2401        凌陽
338      2402        毅嘉
339      2404        漢唐
340      2405        浩鑫
341      2406        國碩
342      2408       南亞科
343      2409        友達
344      2412       中華電
345      2413        環科
346      2414        精技
347      2415        錩新
348      2417        圓剛
349      2419        仲琦
350      2420        新巨
351      2421        建準
352      2423        固緯
353      2424        隴華
354      2425        承啟
355      2426        鼎元
356      2427       三商電
357      2428        興勤
358      2429       銘旺科
359      2430        燦坤
360      2431        聯昌
361      2433       互盛電
362      2434        統懋
363      2436       偉詮電
364      2437        旺詮
365      2438        翔耀
366      2439        美律
367      2440       太空梭
368      2441        超豐
369      2442       新美齊
370      2443       新利虹
371      2444        友旺
372      2448        晶電
373      2449      京元電子
374      2450        神腦
375      2451        創見
376      2453        凌群
377      2454       聯發科
378      2455        全新
379      2456       奇力新
380      2457        飛宏
381      2458        義隆
382      2459        敦吉
383      2460        建通
384      2461       光群雷
385      2462       良得電
386      2464        盟立
387      2465        麗臺
388      2466       冠西電
389      2467        志聖
390      2468        華經
391      2471        資通
392      2472       立隆電
393      2474        可成
394      2475        華映
395      2476        鉅祥
396      2477       美隆電
397      2478        大毅
398      2480       敦陽科
399      2481        強茂
400      2482        連宇
401      2483        百容
402      2484        希華
403      2485        兆赫
404      2486        一詮
405      2488        漢平
406      2489        瑞軒
407      2491       吉祥全
408      2492       華新科
409      2493        揚博
410      2495        普安
411      2496        卓越
412      2497       怡利電
413      2498       宏達電
414      2499        東貝
415      2501        國建
416      2504        國產
417      2505        國揚
418      2506        太設
419      2509       全坤建
420      2511        太子
421      2514        龍邦
422      2515        中工
423      2516        新建
424      2520        冠德
425      2524        京城
426      2527        宏璟
427      2528        皇普
428      2530        華建
429      2534        宏盛
430      2535       達欣工
431      2536        宏普
432      2537       聯上發
433      2538        基泰
434      2539       櫻花建
435      2540       愛山林
436      2542       興富發
437      2543        皇昌
438      2545        皇翔
439      2546        根基
440      2547       日勝生
441      2548        華固
442      2597        潤弘
443      2601        益航
444      2603        長榮
445      2605        新興
446      2606        裕民
447      2607        榮運
448      2608        大榮
449      2609        陽明
450      2610        華航
451      2611        志信
452      2612        中航
453      2613        中櫃
454      2614        東森
455      2615        萬海
456      2616        山隆
457      2617        台航
458      2618       長榮航
459      2637     慧洋-KY
460      2701        萬企
461      2702        華園
462      2704        國賓
463      2705        六福
464      2706       第一店
465      2707        晶華
466      2722        夏都
467      2723     美食-KY
468      2727        王品
469      2801        彰銀
470      2809       京城銀
471      2812       台中銀
472      2816       旺旺保
473      2820        華票
474      2823        中壽
475      2832        台產
476      2833       台壽保
477     2833A       台壽甲
478      2834       臺企銀
479      2836       高雄銀
480      2837       萬泰銀
481      2838       聯邦銀
482      2841        台開
483      2845       遠東銀
484      2847       大眾銀
485      2849       安泰銀
486      2850        新產
487      2851       中再保
488      2852       第一保
489      2855       統一證
490      2856       元富證
491      2867       三商壽
492      2880       華南金
493      2881       富邦金
494      2882       國泰金
495      2883       開發金
496      2884       玉山金
497      2885       元大金
498      2886       兆豐金
499      2887       台新金
500      2888       新光金
501      2889       國票金
502      2890       永豐金
503      2891       中信金
504      2892       第一金
505      2901        欣欣
506      2903        遠百
507      2904        匯僑
508      2905        三商
509      2906        高林
510      2908        特力
511      2910        統領
512      2911       麗嬰房
513      2912       統一超
514      2913        農林
515      2915       潤泰全
516      2923     鼎固-KY
517      3002        歐格
518      3003       健和興
519      3004       豐達科
520      3005        神基
521      3006       晶豪科
522      3008       大立光
523      3010        華立
524      3011        今皓
525      3013       晟銘電
526      3014        聯陽
527      3015        全漢
528      3016        嘉晶
529      3017        奇鋐
530      3018        同開
531      3019        亞光
532      3021        鴻名
533      3022       威強電
534      3023        信邦
535      3024        憶聲
536      3025        星通
537      3026       禾伸堂
538      3027        盛達
539      3028       增你強
540      3029        零壹
541      3030        德律
542      3031        佰鴻
543      3032        偉訓
544      3033        威健
545      3034        聯詠
546      3035        智原
547      3036        文曄
548      3037        欣興
549      3038        全台
550      3040        遠見
551      3041        揚智
552      3042        晶技
553      3043        科風
554      3044        健鼎
555      3045       台灣大
556      3046        建碁
557      3047        訊舟
558      3048        益登
559      3049        和鑫
560      3050        鈺德
561      3051        力特
562      3052        夆典
563      3054       立萬利
564      3055       蔚華科
565      3056        總太
566      3057        喬鼎
567      3058        立德
568      3059       華晶科
569      3060        銘異
570      3061        璨圓
571      3062        建漢
572      3080       威力盟
573      3090       日電貿
574      3094        聯傑
575      3130       一零四
576      3149        正達
577      3164        景岳
578      3189        景碩
579      3209        全科
580      3229        晟鈦
581      3231        緯創
582      3257       虹冠電
583      3296        勝德
584      3305        昇貿
585      3308        聯德
586      3311        閎暉
587      3312       弘憶股
588      3315        宣昶
589      3356        奇偶
590      3376       新日興
591      3380        明泰
592      3383       新世紀
593      3406       玉晶光
594      3419        譁裕
595      3432        台端
596      3443        創意
597      3450        聯鈞
598      3454        晶睿
599      3474       華亞科
600      3481        群創
601      3494        誠研
602      3501        維熹
603      3504       揚明光
604      3514        昱晶
605      3515        華擎
606      3518        柏騰
607      3519        綠能
608      3532       台勝科
609      3533        嘉澤
610      3535       晶彩科
611      3536        誠創
612      3545        敦泰
613      3550        聯穎
614      3557        嘉威
615      3559       全智科
616      3561      昇陽光電
617      3573        穎台
618      3576       新日光
619      3579        尚志
620      3584        介面
621      3588        通嘉
622      3591       艾笛森
623      3593        力銘
624      3596        智易
625      3598        奕力
626      3599        旺能
627      3605        宏致
628      3607        谷崧
629      3617        碩天
630      3622        洋華
631      3638     F-IML
632      3645        達邁
633      3653        健策
634      3665     貿聯-KY
635      3669        圓展
636      3673    TPK-KY
637      3679       新至陞
638      3686        達能
639      3694        海華
640      3697      F-晨星
641      3698        隆達
642      3701       大眾控
643      3702       大聯大
644      3703        欣陸
645      3704       合勤控
646      3705        永信
647      4104        佳醫
648      4106        雃博
649      4108        懷特
650      4119        旭富
651      4133       亞諾法
652      4141     龍燈-KY
653      4142       國光生
654      4144     康聯-KY
655      4164       承業醫
656      4306        炎洲
657      4414        如興
658      4426        利勤
659      4526        東台
660      4532        瑞智
661      4722       國精化
662      4725       信昌化
663      4733        上緯
664      4737        華廣
665      4746        台耀
666      4904        遠傳
667      4906        正文
668      4915        致伸
669      4919        新唐
670      4930       燦星網
671      4934        太極
672      4935     茂林-KY
673      4938        和碩
674      4942        嘉彰
675      4952        凌通
676      4956        光鋐
677      4958     臻鼎-KY
678      4960       奇美材
679      4976        佳凌
680      4984     科納-KY
681      5007        三星
682      5203        訊連
683      5215     科嘉-KY
684      5225     東科-KY
685      5234      達興材料
686      5269        祥碩
687      5305        敦南
